,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,clarity_n,color_n,z
0,1,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,1,1,2.438475
1,2,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2,1,2.31127
2,3,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,4,1,2.31014
3,4,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,3,5,2.63016
4,5,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,1,6,2.750385
5,6,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,5,6,2.4806
6,7,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,6,5,2.470195
7,8,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2,4,2.53171
8,9,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,3,1,2.4900749999999996
9,10,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,4,4,2.39085
10,11,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2,6,2.7296000000000005
11,12,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,4,6,2.4586200000000002
12,13,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2,2,2.3314399999999997
13,14,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,1,6,2.7119199999999997
14,15,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,1,1,2.26954
15,16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,0,1,2.6796
16,17,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,1,5,2.6814999999999993
17,18,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2,6,2.70084
18,19,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2,6,2.70831
19,20,0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2,6,2.65848
20,21,0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,1,5,2.7092399999999994
21,22,0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,3,1,2.47863
22,23,0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,4,4,2.4095
23,24,0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2,6,2.6195399999999998
24,25,0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2,6,2.588355
25,26,0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,5,3,2.40996
26,27,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,4,5,2.471875
27,28,0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,3,6,2.66838
28,29,0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,3,0,2.398825
29,30,0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,4,2,2.420775
30,31,0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,4,2,2.4090000000000003
31,32,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,4,2,2.4219
32,33,0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,4,1,2.42193
33,34,0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,4,1,2.4008249999999998
34,35,0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,4,0,2.43886
35,36,0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,4,2,2.3687400000000003
36,37,0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,4,1,2.4614399999999996
37,38,0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2,4,2.752
38,39,0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,3,0,2.5201599999999997
39,40,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,1,5,2.781
40,41,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,1,5,2.75094
41,42,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2,6,2.7617199999999995
42,43,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,3,0,2.61126
43,44,0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,4,0,2.46156
44,45,0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,1,4,2.7480050000000005
45,46,0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2,2,2.652
46,47,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,1,4,2.70993
